grade,class,assignment,prepost,paragraph_count,sentence_count,word_count,num_problem_spaces,num_misspelt,num_grammar_problems,dale_chall_readability_score,smog_index,flesch_reading_ease,flesch_kincaid_grade,linsear_write_formula,coleman_liau_index,automated_readability_index,yule_vocab_richness,total_score,nouns,pronouns,verbs,adjectives,adverbs,conjunctions,particles,pronouns,prepositions,others,simpson,fisher,brillouin,berger_parker,percent_active,ave_sent_length,sd_sent_length,percent_short,percent_long,trans_count,trans_diversity
76,hyogenD_2019,narrative_essay,post,4,42,422,0,15,23,5.39,7.6,5.61,86.5,3.7,5.666666667,4.67,3.4,12.21434079,6,4,30,0,2,3,2,0,1,0,0.36034298,1.4932568,0.805362629,0.731707317,0.619047619,10.04761905,4.005664923,0.023809524,0,37,9
77,hyogenACE_2019,descriptive_essay,pre,6,30,263,0,3,8,4.95,6.5,4.49,95.88,2.2,3.307692308,3.51,2.3,14.24695652,5,1,20,0,0,5,1,0,3,0,0.426814988,1.297815522,0.645719645,0.740740741,0.8,8.766666667,4.716519432,0.033333333,0,18,6
78,hyogenACE_2019,process_essay,pre,7,43,418,3,18,17,5.52,7.6,5.5,77.84,5,5.444444444,7.34,5.7,8.915771812,6,11,11,3,3,6,3,0,9,0,0.748087432,2.029363479,1.415445058,0.297297297,0.869565217,9.086956522,3.412420325,0.02173913,0,43,8
78,hyogenACE_2019,descriptive_essay,pre,4,39,312,3,10,16,5.39,7,5.45,85.99,3.9,4.4,4.27,3.5,9.817409766,4,2,25,0,0,8,4,0,0,0,0.536318759,1.116943034,0.875701311,0.641025641,0.923076923,8,3.137858162,0.025641026,0,46,7
78,hyogenACE_2019,descriptive_essay,post,11,41,307,0,2,12,1.22,7.2,4.48,87.82,3.2,3.615384615,3.45,2.3,9.735023041,4,2,21,0,0,9,6,0,3,0,0.642348754,1.127871708,0.987206154,0.552631579,0.975609756,7.487804878,2.75965667,0.024390244,0,35,3
78,hyogenD_2019,narrative_essay,pre,4,47,413,7,12,22,5.52,7.7,6.18,85.89,4,5.111111111,3.58,2.8,10.51591788,6,1,28,0,2,3,6,0,3,4,0.383693046,1.508351429,0.834168468,0.7,0.914893617,8.787234043,5.378982622,0.021276596,0,59,11
79,hyogenACE_2019,descriptive_essay,pre,7,26,331,0,4,10,5.29,8,6.97,81.63,5.6,7.142857143,6.02,6.1,12.69468547,6,3,13,0,2,4,0,0,4,0,0.611111111,1.430662181,0.920729864,0.590909091,0.807692308,12.73076923,5.900180521,0.038461538,0,51,4
79,hyogenACE_2019,descriptive_essay,pre,5,22,290,3,5,10,6.05,9.2,7.31,75.2,6,6.625,7.82,6.8,16.97306397,7,3,9,0,0,5,4,0,3,0,0.841603053,1.465222077,1.086714589,0.428571429,0.958333333,12.08333333,7.609843771,0.041666667,0.041666667,43,6
79,hyogenACE_2019,descriptive_essay,pre,7,21,234,2,5,3,5.87,8,6.57,84.27,4.6,5.333333333,6.02,5.3,12.57024793,6,2,13,0,0,3,1,0,2,0,0.493169399,1.546303963,0.752779668,0.684210526,0.761904762,11.14285714,4.59073305,0.047619048,0,29,7
79,hyogenACE_2019,descriptive_essay,pre,7,27,304,3,9,12,5.81,8.1,7.08,82.24,5.4,7.833333333,4.28,4.7,15.59090909,5,1,15,0,0,6,0,0,5,0,0.615776081,0.938626343,0.636029943,0.681818182,0.777777778,11.25925926,6.392081864,0.037037037,0,32,4
79,hyogenACE_2019,descriptive_essay,pre,6,21,223,0,13,10,5.96,8.3,6.55,84.37,4.5,4.5,6.42,5.9,19.10013717,6,3,10,0,0,3,1,0,3,1,0.607142857,1.649097015,0.871596585,0.588235294,0.904761905,10.61904762,3.884967248,0.047619048,0,33,6
79,hyogenACE_2019,narrative_essay,pre,5,41,417,4,4,11,5.53,7.8,6.26,84.37,4.5,8,5.67,4.8,12.52332016,6,2,19,0,1,9,3,0,8,0,0.507017544,1.616920936,0.998653213,0.558823529,0.714285714,9.928571429,4.672069273,0.023809524,0,63,11
79,hyogenB_2019,narrative_essay,pre,4,52,414,1,21,20,5.51,7.4,5.31,88.33,3,5.666666667,2.63,1.4,12.18079316,6,6,42,0,1,3,0,0,0,0,0.373480663,1.009954509,0.581114312,0.807692308,0.846153846,7.961538462,3.322195396,0.019230769,0,44,9
79,hyogenD_2019,narrative_essay,pre,3,34,418,0,7,3,5.19,7.6,5.5,84.37,4.5,7.142857143,4.57,3.8,11.85384292,5,3,17,2,0,5,1,0,6,0,0.47804878,1.772198709,0.968295403,0.607142857,0.735294118,12.29411765,6.195488927,0.029411765,0,39,10
79,hyogenD_2019,narrative_essay,pre,4,62,487,2,17,20,5.25,6.7,4.17,88.43,3,5,4.31,3,10.76622691,5,10,33,0,3,7,5,0,5,0,0.528930818,1.311868796,1.124017229,0.568965517,0.920634921,7.73015873,4.202064305,0.015873016,0,78,14
79,hyogenD_2019,narrative_essay,pre,4,45,414,1,9,12,5.24,8.1,5.82,84.57,4.5,5.222222222,5.32,4.4,10.45723173,5,1,28,1,4,4,3,0,5,0,0.338774688,1.936078477,0.926746378,0.682926829,0.847826087,9,4.907846424,0.02173913,0,51,12
